external_gene_name	mmusculus_homolog_associated_gene_name
RNU6-1258P	Gm26279
RNA5-8SP4	
RF02175	Gm27834
RNU6ATAC27P	Gm26357
MIR4501	
RNA5SP369	
RNU6-517P	
RNU6-230P	
RNU6-858P	
RNU4-40P	
MIR5586	
RF02133	Gm27898
RNU6-1087P	
RNU6-793P	
RF01183	
SNORD104	Snord104
RN7SL561P	Gm27853
MIR4716	
RN7SL828P	
RF00066	
RN7SL78P	
RF00397	
RNU6-114P	
RNU6-122P	
MIR3180-2	
RF00322	
AL929561.4	
RNU1-142P	Gm24929
RF00568	
LENG1	
MIR144	Mir144
VTRNA1-3	
RF00019	Gm23921
RF00019	Gm24372
RF00019	Gm24203
RN7SL25P	
SNORA9B	
RNA5SP323	
AC012314.14	
MIR3184	
RF02219	Gm27735
RNU6-595P	
RN7SL510P	
RF00092	Gm22864
MIR3185	
RF00181	
RNU6-377P	
RNU6-942P	Gm22654
MIR6787	
RN7SKP198	Gm23884
RNU1-51P	
RNU6-195P	
RNU1-79P	
RNA5SP498	
MIR637	
RN7SKP100	Gm24139
RNU6-1216P	
RNA5SP463	
MIR6728	
RN7SL167P	
RNA5SP504	
RF02247	Gm27801
MIR3192	
RNU6-1026P	Gm24686
SNORA22	Gm24559
SNORA22	Gm23245
MIR6127	
RN7SKP287	
MIR4685	
RNU6-575P	Gm26159
MIR1302-5	
RNU7-62P	
RNU6-504P	
MIR4683	
RNU6ATAC11P	
RN7SL656P	
RN7SL482P	
MIR7154	
MIR3196	
RNU6-1092P	
RNU6-1236P	Gm26484
AP003392.13	
RNU6-782P	
RNU6-1014P	
MIR6746	
RN7SL797P	Gm22876
MIR3118-1	
AC136352.2	
MIR1244-3	
RN7SL610P	
RNU6-1198P	
GP6	
RNA5SP204	
MIR4698	
RNU7-92P	
RNU6-229P	
MIR5704	
MIR16-1	
RNU1-98P	
RNU6-248P	Gm22770
RNU6-248P	Gm24285
RNU6-248P	Gm25268
RF00002	
MIR6880	
MIR548AS	
MIR4450	
RNA5S9	
RNA5SP423	
RNA5SP519	
SNORD127	Gm25970
MIR4722	
MIR380	
MIR7848	
RNA5S2	
SNORD35A	Snord35a
RF02109	Gm27747
RNU4-6P	Gm25102
MIR654	
MIR4670	
MIR636	
RF00026	Gm24602
RF00026	Gm23643
RF02197	
RNU6-1188P	
MIR6511A3	
RN7SL377P	
MIR4529	
MIR532	Mir532
MIR6884	
RNU6-792P	
MIR4751	
RF01970	Gm27999
RNA5SP402	
RN7SL408P	
SNORD64	Snord64
MIR4747	
RNU6-1254P	
MIR521-2	
RNU6-637P	Gm26002
RNU6-586P	Gm26133
RNU6-586P	Gm22476
MIR6793	
AL592183.1	Frg1
MIR7158	
RN7SL310P	
RNA5SP96	
RN7SL98P	
MIR5196	
RNA5SP117	
MIR5590	
RF02108	
RF02135	
RF00561	
MIR642A	
RF02205	Gm27308
RF00272	Gm22478
RN7SL502P	
MIR7704	
RF00096	
MIR6802	
RNU1-24P	Gm24961
RN7SKP218	
MIR149	
RF00416	
SNORA5A	Gm24313
RN7SL475P	
MIR217	
AL132640.3	
MIR4432	
RNU6-283P	
RF02122	Gm27321
MIR5692B	
RNU6-263P	Gm25935
RNA5SP80	
MIR3132	
MIR8082	
RN7SL850P	
RN7SL706P	
AC069542.2	
RN7SL335P	
MIR4326	
RNU6-535P	Gm22264
MIR3140	
RF00598	
RN7SL203P	
MIR5688	
MIR378E	
RNU6-1095P	Gm26430
RNU6-1095P	Gm26071
RN7SL301P	
MIR28	
MIR6726	
RN7SKP262	Gm22342
RN7SL633P	
MIR5692A1	
RN7SL283P	
RNU6-401P	
MAFIP	Tekt4
MIR4278	
AC099677.7	
MIR6875	
RNU6-1074P	
RNU6-989P	
MIR6853	
RDH13	
RNU6-709P	Gm24356
MIR2110	
MIR325	
MIR600	
RNU6-649P	
RNU6-542P	Gm23209
RNU6-440P	
MIR4297	
MIR6722	
SNORD117	
MIR3160-2	
RNU1-52P	
RNA5SP387	
RNA5SP216	
MIR4703	
RF00432	
RN7SKP67	
RN7SL217P	
MIR3120	
RNU2-38P	
AP000349.1	
MIR496	Mir496a
RNU6-235P	
RF01906	Gm27443
MIR4735	
VSTM1	
MIR5701-3	
RF00006	Vaultrc5
RF00006	Gm25403
RNA5SP34	
MIR1296	
MIR4514	
RF00402	
MIR4483	
RNU7-138P	
RN7SKP82	Gm22552
RN7SKP82	Gm26415
MIR3181	
RN7SL862P	
MIR4301	
SNORA68	Snora68
MIR938	
MIR1910	
RNA5SP527	Gm23905
RNA5SP527	Gm25885
RNU6-1094P	
MIR5580	
AC171558.3	Olfr734
RNU6-982P	
RNA5SP509	
MIR6715B	
MIR3614	
MIR151B	
RNU6-343P	
MIR3944	
RNY3P15	
RNU6ATAC	
MIR376B	
MIR6797	
MIR1304	
RN7SKP221	
MIR6090	
MIR3179-4	
MIR6803	
RNU1-58P	
MIR6076	
RN7SL555P	
OSCAR	
MIR503	
AL355480.1	
MIR4521	
MIR4757	
MIR3118-4	
MIR891A	
RN7SL402P	
MIR33B	
AC133551.1	
MIR4712	
RNU6-682P	
MIR4795	
MIR451A	
RNU6-1247P	
RN7SKP252	
MIR4515	
MIR5002	
MIR6785	
RN7SL790P	Gm27853
MIR5583-1	
RNA5SP401	
MIR1909	
RF02271	Gm27373
AP001052.1	
MIR575	
RN7SL519P	
MIR520G	
RNU6-1066P	
MIR99B	Mir99b
SNORA11F	
MIR4478	
MIR155	Mir155
RNA5SP445	
MIR6801	
RNU6-1340P	
MIR3689D2	
CR388407.1	
MIR128-2	
MIR3194	
RN7SL113P	Gm22876
RN7SKP153	
RN7SL580P	
MIR4789	
MIR548AM	
SNORA74C-1	Gm23946
MIR1224	Mir1224
AC136616.2	Ighv7-4
AC136616.2	Ighv7-3
AC136616.2	Ighv7-1
AC136616.2	Ighv7-2
MIR6829	
RNU6-282P	Gm23025
RNU1-55P	
MIR892C	
SNORD19	Snord19
RNU4-62P	
MIR4473	
MIR574	
RN7SKP271	
MIR4291	
RNU6-1088P	
MIR6720	
MIR4292	
RNU6-27P	
AL035414.2	
MIR550A3	
MIR500B	
MIR30B	Mir30b
RN7SKP225	
MIR545	
RN7SL83P	
MIR548M	
AC012314.11	
VTRNA3-1P	
RNA5SP419	
RN7SL66P	
RNU7-34P	
RNU6-1315P	
RNU6-418P	
SNORA58	Mir3068
RNU6-950P	Gm25401
RN7SL97P	Gm27853
RN7SL397P	
RN7SL801P	
RNU6-37P	Gm25141
SNORD116-13	
RNU1-43P	
RNU6-1059P	
RNU6-1109P	
RNU6-1068P	
RNY1P6	
RF02219	
RNU6-1206P	
RNY4P37	
SNORD113-2	
RNU6-500P	Gm26131
RNU6-1299P	
RNA5SP271	
RN7SKP29	
RN7SL601P	
RNU6-1049P	
SNORD115-10	
RNU6-335P	
RN7SKP104	
RF00004	Gm22946
RNU6-651P	
CNOT3	
RNU6-1266P	
RNU6-364P	
RNA5SP306	
RNA5SP233	
RNU6-1229P	
AC011476.11	
RN7SKP257	
RNU6-425P	
RN7SL430P	
RF00004	
RNU6-1184P	
RNA5SP54	
RN7SKP150	Gm23218
RNA5SP232	
RF00601	
RPS9	
RNU4-92P	
AC243734.1	
RN7SL815P	
RN7SL388P	
RN7SL395P	
RF02043	Gm27866
RNU6-953P	
RF02271	Gm27980
RNU6-317P	
RN7SL341P	Gm27853
RF00105	
RNU6-533P	
RNU6-993P	Gm25384
SNORD115-2	
RNU6-189P	
RN7SL608P	
RNU6-582P	
RNA5SP379	
RNU6-1306P	
SNORA38	
RF00212	Gm22980
RF00212	Gm23615
RN7SKP66	Gm24213
RNU6-670P	
RNU6-323P	
RN7SL688P	
RN7SKP185	
RN7SL776P	Gm22649
RNU6-810P	
AC243790.1	
AL353898.2	
RF00263	
MIR551A	
RF02211	
RN7SL338P	Gm22649
MIR4679-1	
VARS2	
RNU6-1143P	
RNA5SP476	
RN7SL342P	
MIR3161	
RNU6-187P	Gm25577
RN7SL460P	
MIR3612	
RNU6-1101P	
RNA5SP73	
MIR3169	
RF00100	
MIR4310	
RNU6-837P	Gm23865
RNU6-837P	Gm22663
RF00100	Gm23409
RNU4-88P	
MIR4519	
RNU6-111P	
MIR548H3	
RNA5SP377	
RNU1-117P	Gm25280
RNU6-288P	
MIR4523	
RNU6-426P	Gm24946
MIR4734	
RNU5E-5P	
RNU6-726P	
MIR3191	
RNU6-510P	Gm25563
RNU6-906P	Gm23587
MIR520C	
RF02181	
RN7SKP117	
RNU6-1274P	
RF02128	
RNU6-1230P	
MIR558	
RNU6-117P	
MIR4420	
MIR320B2	
MIR4431	
RNU1-68P	Gm24671
RN7SKP278	
MIR1278	
RNU1-139P	Gm24004
SNORD58B	Gm22354
SNORD58B	Snord58b
MIR4688	
RNU6-973P	
AC012314.9	
MIR216A	Mir216a
RNU6-1129P	
MIR8075	
MIR1245A	
RNA5SP372	
RNU6-549P	Gm24716
MIR432	
RNU6-436P	
RNU4-65P	
SNORD110	Snord110
TSEN34	
MIR200A	Mir200a
MIR487A	
MIR4268	
RN7SL108P	
SNORD54	Gm24016
MIR3174	
RN7SL464P	
MIR1226	
RNU5F-6P	
MIR3670-2	
MIR3659	
RF02251	Gm27502
MIR567	
MIR6859-3	
SNORD97	Gm23262
MIR4719	
MIR92B	
RNU6-238P	
RN7SKP297	Gm22026
RNU6-133P	Gm23203
MIR5092	
RNU1-114P	
MIR632	
RNU7-94P	
MIR3124	
RNU6-38P	
MIR6868	
RF02212	
MIR4463	
MIR1-2	Mir1a-2
MIR346	Mir346
RNU6-740P	
MIR8057	
MIR3145	
MIR4741	
RF02192	
MIR8063	
RNU6-731P	Gm25269
RNU6-137P	Gm24356
MIR4666B	
MIR1181	
MIR6719	
MIR6783	
RN7SL37P	
SURF4	
RN7SL266P	
RNU6-81P	Gm23097
MIR1-1	Mir1a-1
MIR525	
MIR4524B	
RN7SL652P	Gm27853
RNU6-606P	
RNA5SP231	
RNU7-11P	
RF02116	Gm27818
RN7SL754P	Gm22649
RNU7-105P	
MIR4744	
MIR941-3	
MIR8080	
MBOAT7	
RNU6-1061P	
MIR4748	
MIR7157	
MIR1286	
RNU6-685P	Gm22681
SNORD115-5	
RNA5SP241	
RNU6-1219P	
MIR4324	
MIR185	Mir185
MIR548I1	
MIR520F	
RN7SL677P	
RNU6-1161P	
SNORA30B	
RN7SL234P	
MIR4645	
MIR4453	
MIR527	
AC006518.7	
MIR586	
RN7SL841P	
RF00334	Gm24888
RN7SKP167	
RNU2-50P	Gm22970
MIR4325	
MIR6727	
SNORD11	Snord11
RN7SL722P	Gm27853
MIR8055	
RN7SL515P	
MIR5690	
MIR4271	
MIR4781	
RN7SKP80	
RNY4P16	
RNU6-1090P	Gm22943
MIR598	Mir598
RNU6-304P	Gm23648
RNU6-304P	Gm26177
MIR30A	Mir30a
MIR6499	
RNU6-1055P	Gm22290
MIR555	
RNA5SP455	
RNU6-123P	
RNU6-1250P	Gm25322
MIR148A	
MIR548U	
RN7SL141P	
MIR3658	
RN7SL732P	
AL391987.1	
MIR6125	
RNU6-622P	
RN7SL455P	
MIR214	Mir214
MIR4260	
MIR1285-1	
MIR5090	
RNU6-33P	Gm26065
RN7SL556P	
MIR8072	
RNU5E-1	Gm23143
RNU5E-1	Gm25099
RNU5E-1	Gm24871
RNU5E-1	Gm23287
MIR6742	
RF00278	Snord50b
RF00278	Gm23017
RF00278	Snord50a
RF00278	Gm24463
RF00278	Gm26135
RNU6-249P	
MIR6876	
MIR548D1	
MIR3158-2	
RF01955	Gm28006
MIR6072	
MIR6717	
MIR4662B	
MIR1587	
RNU6-924P	
MIR6744	
RNU6-809P	
RN7SL101P	
MIR5582	
RNU2-56P	
MIR6078	
RN7SKP47	
MIR379	
RF02266	Gm27733
MIR766	
MIR4687	
MIR548Q	
MIR4491	
RNU6-30P	Gm22740
SERTAD4	
MIR1265	
RNU6-299P	Gm25601
MIR495	
RN7SKP240	Gm25807
RNU6-985P	Gm25518
MIR4303	
RNA5SP457	
MIR1291	
MIR615	
RN7SL233P	
RNU4ATAC11P	
RNY1	
MIR6759	
MIR3118-3	
MIR4500	
RNU7-181P	
MIR5700	
RNU6-748P	Gm22259
RNU6-748P	Gm22575
MIR1972-2	
MIR6861	
MIR4307	
RN7SL340P	
MIR409	Mir409
MIR409	Gm24321
HHAT	
SNORA48	
RNU6-244P	
RNU6-298P	Gm22080
MIR1180	
MIR4503	
MIR431	Mir431
MIR6859-4	
RN7SKP30	Gm22025
RN7SL507P	
RN7SL724P	
RNA5SP441	
MIR4718	
RNU7-153P	
MIR6129	
MIR5694	
RNU4-11P	
MIR889	
MIR6511A1	
MIR1250	
MIR3180-3	
RNU6-833P	
MIR30D	Mir30d
RF01293	
MIR626	
SNORA84	Gm25989
SNORA84	Gm25394
SNORA84	Gm23513
RNU4-38P	
MIR4743	
MIR4323	
MIR4721	
MIR628	Gm27353
MIR23C	
RNA5SP176	
RNU6-56P	Gm26166
RNU6-56P	Gm24445
MIR518D	
RNA5SP491	
MIR4750	
RNU1-3	
MIR184	
SNORD116-7	Gm24153
SNORD116-7	Gm22128
SNORD116-7	Gm23265
SNORD116-7	Gm24264
SNORD116-7	Snord116l7
SNORD116-7	Gm25157
SNORD116-7	Gm22131
SNORD116-7	Gm22631
SNORD116-7	Gm24760
SNORD116-7	Gm22941
SNORD116-7	Snord116l10
SNORD116-7	Gm26201
SNORD116-7	Snord116l12
SNORD116-7	Gm24518
SNORD116-7	Gm26270
SNORD116-7	Gm26365
SNORD116-7	Snord116l1
SNORD116-7	Snord116l13
SNORD116-7	Gm23313
SNORD116-7	Gm25597
SNORD116-7	Gm22417
SNORD116-7	Gm26502
SNORD116-7	Snord116l5
SNORD116-7	Gm22812
SNORD116-7	Gm23862
SNORD116-7	Snord116l14
SNORD116-7	Gm22047
SNORD116-7	Gm22258
SNORD116-7	Snord116l17
SNORD116-7	Gm24618
SNORD116-7	Gm22863
SNORD116-7	Gm23089
SNORD116-7	Snord116l9
SNORD116-7	Gm25350
SNORD116-7	Snord116l16
SNORD116-7	Gm25074
SNORD116-7	Gm23141
SNORD116-7	Gm25615
SNORD116-7	Gm25944
SNORD116-7	Gm23446
SNORD116-7	Gm26032
SNORD116-7	Gm23953
SNORD116-7	Gm25155
SNORD116-7	Gm25471
SNORD116-7	Gm22046
SNORD116-7	Gm23767
SNORD116-7	Snord116l15
SNORD116-7	Gm25474
SNORD116-7	Gm22584
SNORD116-7	Gm25816
SNORD116-7	Gm24711
SNORD116-7	Gm26188
SNORD116-7	Gm22776
SNORD116-7	Gm23047
SNORD116-7	Gm25210
SNORD116-7	Snord116l3
SNORD116-7	Gm26097
SNORD116-7	Snord116l11
SNORD116-7	Gm22851
SNORD116-7	Gm26332
SNORD116-7	Gm26504
SNORD116-7	Snord116l2
SNORD116-7	Gm26433
SNORD116-7	Gm22285
SNORD116-7	Snord116l8
SNORD116-7	Snord116l4
SNORD116-7	Gm24609
SNORD116-7	Gm23619
SNORD116-7	Gm26246
SNORD116-7	Snord116l6
MIR5189	
RNU2-68P	
RF00279	Snord45c
RF01233	Gm23897
MIR8061	
MIR514B	Mir509
MIR4761	
MIR1276	
RF00593	
RNU2-60P	
RNU2-2P	
MIR4520-1	
MIR3134	
RNA5SP432	
MIR649	
RNU6-1339P	Gm23730
SNORD32B	
RN7SL426P	
RNU6-477P	
MIR940	
MIR548P	
MIR497	Mir497
MIR3928	
RN7SKP22	Gm23218
RN7SL415P	
RNU7-147P	
MIR206	Mir206
RNA5SP162	
MIR548AT	
RNU2-57P	
MIR4636	
RNU6-714P	
RNA5SP364	
NLRP2	
MIR6791	
MIR1302-6	Gm23841
MIR449B	
RN7SL30P	Rn7s6
MIR7153	
MIR595	
RNU6-29P	
MIR8077	
MIR146A	
RF00137	
RNA5SP142	
MIR6886	
RN7SKP154	Gm22794
MIR3622A	
RNU6-757P	
RNU4-12P	
MIR6807	
MIR1273C	
RNU6-1183P	
RNU6-732P	
MIR3189	
RNU6-468P	
MIR4287	
RNU6-735P	
MIR4650-2	
RF01872	Gm27335
RF01872	Gm27300
MIR4775	
RN7SL778P	
RF01979	Gm27477
MIR4436B1	
MIR5708	
SNORA23	Snora23
RF01968	Gm27588
RNU2-71P	
SNORD26	Gm25894
MIR4438	
MIR29A	Mir29a
MIR509-3	
RN7SKP163	
MIR4760	
RNU6-507P	Gm23901
RNU6-144P	Gm22883
RF00554	
MIR3148	
MIR4777	
RNU6-258P	Gm22769
RF00019	Gm25223
RNU6-237P	
SNORA71E	Gm25187
MIR6889	
RNU6-1288P	
MIR4470	
RNY1P15	
RNA5SP69	
RNU6-597P	
MIR802	
RNU6ATAC4P	
RNA5SP259	
RNU6-210P	Gm24892
MIR151A	Mir151
MIR4281	
RNU6-151P	
RNA5SP53	
MIR568	
AC007908.1	
RNU6-1042P	
RNU6-864P	
RN7SL760P	
MIR27B	Mir27b
MIR4284	
MIR5191	
MIR15B	Mir15b
RN7SL471P	
SNORD59A	Snord59a
MIR3689A	
RN7SL591P	Gm27853
MIR490	Mir490
SNORA11E	
RN7SL598P	Gm22649
MIR141	
SNORD115-36	
RN7SL431P	Gm22649
MIR4449	
AL928646.1	
RNU6-1079P	Gm22021
MIR8071-2	
RNU6-959P	
RN7SL612P	
MIR4768	
AL627230.1	
RNU1-89P	
RN7SL634P	
MIR1243	
RF00015	Gm22985
RNU6-648P	
RN7SKP176	
RNU6-45P	
MIR4516	
RNU6-1162P	Gm23166
MIR504	Mir504
SNORA21B	Gm27326
AC016601.1	
MIR365A	Mir365-1
RN7SL263P	
RNU2-39P	
RNVU1-6	
RNU6-696P	
RNU6-1145P	
RN7SL186P	
RNU6-1020P	Gm24356
RNU7-43P	
MIR339	Mir339
MIR132	Mir132
RF00019	Gm23466
RF00019	Gm25427
RNU1-105P	Gm23027
RNU1-105P	Gm22738
RF00004	Gm24666
SNORA2B	
RNU6-694P	
RF02171	
SNORD73A	Snord73a
SNORA73B	
MIR3147	
RN7SKP264	
MIR4731	
RNA5SP315	
RF02126	
RNU6-387P	Gm22287
SNORD74B	Gm26224
RNU6-761P	
RN7SKP26	
RNU6-800P	
MIR597	
RNU6ATAC34P	
MIR4732	
RNU6-1067P	
SNORA35	Snora35
SNORD38C	Gm22980
SNORD38C	Gm23615
RF01225	
RMRP	Rmrp
MIR3149	
MIR7108	
RNA5SP442	
RNU2-35P	
RNU4ATAC2P	
RNA5SP145	
RNA5S16	
MIR1234	
RN7SL174P	
MIR216B	Mir216b
RF02200	
RN7SL843P	
AL772161.2	
RF00399	Gm24338
RF00399	Gm24252
RF00399	Gm23012
RNU6-785P	
MIR4328	
RNU1-107P	Gm23050
RNU1-107P	Gm24692
RNU1-107P	Gm26057
RNU1-107P	Gm23727
RNU1-107P	Gm25730
SNORD116-23	
MIR3130-2	
RNU7-9P	
RF02193	
RNA5SP27	
MIR3978	
RNU7-13P	
SNORA14A	Gm26397
RNU1-149P	Gm23435
MIR6814	
RNU4-58P	
RN7SL159P	
RNU6-1305P	Gm23730
SNORD52	
RNU7-125P	
RN7SL647P	
RNU6-200P	
RNY1P4	
MIR3199-2	
RNU6-607P	
RNA5SP203	
RNU6-1309P	
SNORD30	Gm22680
SNORD114-14	Gm23787
RNU6-251P	
SNORD88C	Gm26247
RN7SKP230	
RNU6-1064P	Gm24198
MIR4763	
RNU6-1233P	
RNA5SP205	
RNU6-534P	Gm26091
RN7SL60P	
RNU6-915P	
SNORD115-20	
MIR4637	
RF00139	
RNU6-506P	
SNORD114-9	
RNA5SP79	
RNU6-1099P	Gm23428
RNU6-602P	
RNA5SP102	
MIR1275	
RNA5SP478	
RN7SL796P	
RNA5SP501	
RN7SKP170	Gm25288
RN7SL784P	
RN7SL831P	
RN7SL846P	
MIR6838	
RN7SL635P	Gm27853
RN7SL535P	
RN7SKP115	
RNA5SP227	
RN7SL381P	
RN7SL461P	
RNU6-1091P	
MIR6848	
RN7SKP200	Gm22143
SNORA54	Gm23297
RNU2-36P	
RNU6-1226P	Gm25204
RNA5SP437	
RNU6-633P	Gm22148
RNU4ATAC6P	
RNU6-1220P	Gm24650
RNU6-1163P	
RNU7-56P	
MIR3621	
RF01875	Gm27627
RF00264	Snora64
RNU6-1103P	
RF00561	Gm22490
MIR676	
RN7SKP202	
RN7SL789P	
RN7SL508P	
SNORD115-40	
RNY3P1	
RN7SL320P	
RNU6-1298P	
RNY3P2	
RNU6-1245P	
RN7SL575P	
RNA5SP533	
RF01699	
RNU6-844P	
RN7SKP157	
RF01848	Rnu3b3
RF01848	Gm23927
RF01848	Gm25203
RF01848	Rnu3b4
RF01848	Rnu3b2
RF01848	Gm24826
RF01848	Rnu3b1
SNORD84	Gm22589
RF00591	Snord80
RN7SL399P	
RN7SL674P	
SNORD115-14	
RNA5SP529	
AC012314.7	
RNU6-1215P	Gm23932
RNU6-1326P	
RNU6-61P	Gm25312
RNU6-698P	
RNU6-526P	Gm23588
RNU6-526P	Gm25629
RNU6-526P	Gm25081
RNU6-126P	Gm26484
RF00425	Gm24769
RF00425	Gm26186
RNU6-1008P	Gm25163
RNU6-1244P	Gm25889
RNU6-1235P	Gm24716
RNA5SP375	
RNU6-644P	Gm24584
RNU6-965P	
RNU6-878P	
RN7SKP177	
RN7SL100P	Gm22876
RNU1-93P	
RNY4P34	
RNU6-276P	Gm24277
RNY4P28	
RF02248	Gm27610
RN7SL466P	
RNU6-490P	Gm23678
RNU6-101P	
SNORA7A	Snora7a
RNU6-895P	Gm26369
RF00416	Gm23377
RNVU1-15	
RNA5SP480	
SNORD115-46	Gm25499
RNA5SP391	
SNORA15	Snora15
RN7SL255P	
RF00401	Gm24615
SURF6	
RN7SL104P	
RNU6-605P	
RNU6-905P	
RN7SL649P	
RNA5SP126	
RNU6-351P	Gm24546
RN7SL363P	
RNU2-42P	Gm24666
RN7SL240P	
RNY1P16	
RNA5SP395	
RN7SKP106	
RN7SL663P	
RF00494	
VTRNA1-1	
RF00414	Gm24559
RF00414	Gm23245
RNY3P16	
RF00566	
RNA5SP151	
RN7SL160P	
RNU6-365P	Gm22452
RNU6-669P	
RF00285	
SNORD5	Gm24299
RNA5-8SP6	
RNA5SP283	
SNORA27	Gm23202
RNU6-268P	Gm24223
RNU6-268P	Gm24457
RNU6-796P	
RF02203	
RN7SL14P	
RF00003	Gm24671
AC243587.1	
RF01909	Gm27580
RNU6-768P	
RNU4-64P	
SNORD115-1	
RNU6-70P	
RNU6-797P	
RN7SKP116	
RNA5SP114	
RF02172	
RNU6-1082P	
RNU4-48P	
RNU6-755P	
RNU7-19P	
AC005086.3	
RN7SL260P	
SNORD23	Snord23
RNU4-80P	
RF00136	Gm25789
RF00136	Gm25802
RF01892	Gm27624
RNU6-502P	Gm23390
RF00019	Gm24629
RN7SKP7	Gm22669
RN7SL5P	
RN7SL646P	
RNU6-370P	Gm23253
RN7SL469P	
RNU6-647P	
RNA5S7	n-R5s144
RNU6-913P	Gm22004
TARM1	
RF00139	Gm23758
